variant_a,variant_b,case_set,n_both_solved,n_only_a,n_only_b,n_neither,jaccard,n_both_failed
A,A,c1,15,0,0,10,1.0000,10
A,A_strict,c1,12,3,0,10,0.8000,10
A,B,c1,15,0,3,7,0.8333,7
A,B_strict,c1,15,0,1,9,0.9375,9
A,C,c1,14,1,3,7,0.7778,7
A,C_strict,c1,14,1,3,7,0.7778,7
A,D,c1,13,2,1,9,0.8125,9
A,E,c1,15,0,2,8,0.8824,8
A,F,c1,12,3,0,10,0.8000,10
A,F_strict,c1,12,3,2,8,0.7059,8
A,G,c1,14,1,1,9,0.8750,9
A,G_strict,c1,12,3,1,9,0.7500,9
A,H,c1,14,1,0,10,0.9333,10
A,I,c1,14,1,1,9,0.8750,9
A,J,c1,14,1,1,9,0.8750,9
A,K,c1,11,4,0,10,0.7333,10
A,L,c1,10,5,0,10,0.6667,10
A,M,c1,12,3,1,9,0.7500,9
A,N,c1,11,4,2,8,0.6471,8
A,P,c1,13,2,3,7,0.7222,7
A,rafe_gpt120b,c1,11,4,8,2,0.4783,2
A,rafe_gpt_plan_critic_qwen,c1,9,6,6,4,0.4286,4
A,rafe_gpt_plan_qwen_code,c1,9,6,8,2,0.3913,2
A,rafe_gpt_plan_qwen_code_rev,c1,10,5,5,5,0.5000,5
A,rafe_mcts_baseline,c1,7,8,5,5,0.3500,5
A,rafe_mcts_critic_gate,c1,9,6,5,5,0.4500,5
A,rafe_mcts_plan_critic,c1,8,7,6,4,0.3810,4
A,rafe_qwen,c1,10,5,8,2,0.4348,2
A_strict,A_strict,c1,12,0,0,13,1.0000,13
A_strict,B,c1,12,0,6,7,0.6667,7
A_strict,B_strict,c1,12,0,4,9,0.7500,9
A_strict,C,c1,11,1,6,7,0.6111,7
A_strict,C_strict,c1,11,1,6,7,0.6111,7
A_strict,D,c1,11,1,3,10,0.7333,10
A_strict,E,c1,12,0,5,8,0.7059,8
A_strict,F,c1,10,2,2,11,0.7143,11
A_strict,F_strict,c1,10,2,4,9,0.6250,9
A_strict,G,c1,12,0,3,10,0.8000,10
A_strict,G_strict,c1,11,1,2,11,0.7857,11
A_strict,H,c1,11,1,3,10,0.7333,10
A_strict,I,c1,12,0,3,10,0.8000,10
A_strict,J,c1,11,1,4,9,0.6875,9
A_strict,K,c1,10,2,1,12,0.7692,12
A_strict,L,c1,9,3,1,12,0.6923,12
A_strict,M,c1,9,3,4,9,0.5625,9
A_strict,N,c1,11,1,2,11,0.7857,11
A_strict,P,c1,10,2,6,7,0.5556,7
A_strict,rafe_gpt120b,c1,9,3,10,3,0.4091,3
A_strict,rafe_gpt_plan_critic_qwen,c1,7,5,8,5,0.3500,5
A_strict,rafe_gpt_plan_qwen_code,c1,8,4,9,4,0.3810,4
A_strict,rafe_gpt_plan_qwen_code_rev,c1,8,4,7,6,0.4211,6
A_strict,rafe_mcts_baseline,c1,5,7,7,6,0.2632,6
A_strict,rafe_mcts_critic_gate,c1,8,4,6,7,0.4444,7
A_strict,rafe_mcts_plan_critic,c1,6,6,8,5,0.3000,5
A_strict,rafe_qwen,c1,8,4,10,3,0.3636,3
B,B,c1,18,0,0,7,1.0000,7
B,B_strict,c1,16,2,0,7,0.8889,7
B,C,c1,17,1,0,7,0.9444,7
B,C_strict,c1,17,1,0,7,0.9444,7
B,D,c1,14,4,0,7,0.7778,7
B,E,c1,17,1,0,7,0.9444,7
B,F,c1,12,6,0,7,0.6667,7
B,F_strict,c1,14,4,0,7,0.7778,7
B,G,c1,14,4,1,6,0.7368,6
B,G_strict,c1,13,5,0,7,0.7222,7
B,H,c1,14,4,0,7,0.7778,7
B,I,c1,15,3,0,7,0.8333,7
B,J,c1,15,3,0,7,0.8333,7
B,K,c1,11,7,0,7,0.6111,7
B,L,c1,10,8,0,7,0.5556,7
B,M,c1,13,5,0,7,0.7222,7
B,N,c1,13,5,0,7,0.7222,7
B,P,c1,15,3,1,6,0.7895,6
B,rafe_gpt120b,c1,13,5,6,1,0.5417,1
B,rafe_gpt_plan_critic_qwen,c1,11,7,4,3,0.5000,3
B,rafe_gpt_plan_qwen_code,c1,12,6,5,2,0.5217,2
B,rafe_gpt_plan_qwen_code_rev,c1,12,6,3,4,0.5714,4
B,rafe_mcts_baseline,c1,8,10,4,3,0.3636,3
B,rafe_mcts_critic_gate,c1,10,8,4,3,0.4545,3
B,rafe_mcts_plan_critic,c1,9,9,5,2,0.3913,2
B,rafe_qwen,c1,13,5,5,2,0.5652,2
B_strict,B_strict,c1,16,0,0,9,1.0000,9
B_strict,C,c1,15,1,2,7,0.8333,7
B_strict,C_strict,c1,15,1,2,7,0.8333,7
B_strict,D,c1,14,2,0,9,0.8750,9
B_strict,E,c1,16,0,1,8,0.9412,8
B_strict,F,c1,12,4,0,9,0.7500,9
B_strict,F_strict,c1,13,3,1,8,0.7647,8
B_strict,G,c1,14,2,1,8,0.8235,8
B_strict,G_strict,c1,13,3,0,9,0.8125,9
B_strict,H,c1,14,2,0,9,0.8750,9
B_strict,I,c1,15,1,0,9,0.9375,9
B_strict,J,c1,15,1,0,9,0.9375,9
B_strict,K,c1,11,5,0,9,0.6875,9
B_strict,L,c1,10,6,0,9,0.6250,9
B_strict,M,c1,13,3,0,9,0.8125,9
B_strict,N,c1,11,5,2,7,0.6111,7
B_strict,P,c1,14,2,2,7,0.7778,7
B_strict,rafe_gpt120b,c1,12,4,7,2,0.5217,2
B_strict,rafe_gpt_plan_critic_qwen,c1,10,6,5,4,0.4762,4
B_strict,rafe_gpt_plan_qwen_code,c1,10,6,7,2,0.4348,2
B_strict,rafe_gpt_plan_qwen_code_rev,c1,11,5,4,5,0.5500,5
B_strict,rafe_mcts_baseline,c1,8,8,4,5,0.4000,5
B_strict,rafe_mcts_critic_gate,c1,10,6,4,5,0.5000,5
B_strict,rafe_mcts_plan_critic,c1,9,7,5,4,0.4286,4
B_strict,rafe_qwen,c1,11,5,7,2,0.4783,2
C,C,c1,17,0,0,8,1.0000,8
C,C_strict,c1,16,1,1,7,0.8889,7
C,D,c1,13,4,1,7,0.7222,7
C,E,c1,16,1,1,7,0.8889,7
C,F,c1,12,5,0,8,0.7059,8
C,F_strict,c1,14,3,0,8,0.8235,8
C,G,c1,13,4,2,6,0.6842,6
C,G_strict,c1,12,5,1,7,0.6667,7
C,H,c1,13,4,1,7,0.7222,7
C,I,c1,14,3,1,7,0.7778,7
C,J,c1,14,3,1,7,0.7778,7
C,K,c1,10,7,1,7,0.5556,7
C,L,c1,9,8,1,7,0.5000,7
C,M,c1,13,4,0,8,0.7647,8
C,N,c1,12,5,1,7,0.6667,7
C,P,c1,15,2,1,7,0.8333,7
C,rafe_gpt120b,c1,12,5,7,1,0.5000,1
C,rafe_gpt_plan_critic_qwen,c1,10,7,5,3,0.4545,3
C,rafe_gpt_plan_qwen_code,c1,11,6,6,2,0.4783,2
C,rafe_gpt_plan_qwen_code_rev,c1,11,6,4,4,0.5238,4
C,rafe_mcts_baseline,c1,8,9,4,4,0.3810,4
C,rafe_mcts_critic_gate,c1,9,8,5,3,0.4091,3
C,rafe_mcts_plan_critic,c1,8,9,6,2,0.3478,2
C,rafe_qwen,c1,12,5,6,2,0.5217,2
C_strict,C_strict,c1,17,0,0,8,1.0000,8
C_strict,D,c1,13,4,1,7,0.7222,7
C_strict,E,c1,16,1,1,7,0.8889,7
C_strict,F,c1,11,6,1,7,0.6111,7
C_strict,F_strict,c1,13,4,1,7,0.7222,7
C_strict,G,c1,13,4,2,6,0.6842,6
C_strict,G_strict,c1,12,5,1,7,0.6667,7
C_strict,H,c1,13,4,1,7,0.7222,7
C_strict,I,c1,14,3,1,7,0.7778,7
C_strict,J,c1,14,3,1,7,0.7778,7
C_strict,K,c1,10,7,1,7,0.5556,7
C_strict,L,c1,9,8,1,7,0.5000,7
C_strict,M,c1,12,5,1,7,0.6667,7
C_strict,N,c1,12,5,1,7,0.6667,7
C_strict,P,c1,14,3,2,6,0.7368,6
C_strict,rafe_gpt120b,c1,12,5,7,1,0.5000,1
C_strict,rafe_gpt_plan_critic_qwen,c1,10,7,5,3,0.4545,3
C_strict,rafe_gpt_plan_qwen_code,c1,11,6,6,2,0.4783,2
C_strict,rafe_gpt_plan_qwen_code_rev,c1,11,6,4,4,0.5238,4
C_strict,rafe_mcts_baseline,c1,7,10,5,3,0.3182,3
C_strict,rafe_mcts_critic_gate,c1,9,8,5,3,0.4091,3
C_strict,rafe_mcts_plan_critic,c1,8,9,6,2,0.3478,2
C_strict,rafe_qwen,c1,12,5,6,2,0.5217,2
D,D,c1,14,0,0,11,1.0000,11
D,E,c1,14,0,3,8,0.8235,8
D,F,c1,11,3,1,10,0.7333,10
D,F_strict,c1,12,2,2,9,0.7500,9
D,G,c1,13,1,2,9,0.8125,9
D,G_strict,c1,12,2,1,10,0.8000,10
D,H,c1,12,2,2,9,0.7500,9
D,I,c1,14,0,1,10,0.9333,10
D,J,c1,13,1,2,9,0.8125,9
D,K,c1,10,4,1,10,0.6667,10
D,L,c1,10,4,0,11,0.7143,11
D,M,c1,12,2,1,10,0.8000,10
D,N,c1,10,4,3,8,0.5882,8
D,P,c1,13,1,3,8,0.7647,8
D,rafe_gpt120b,c1,10,4,9,2,0.4348,2
D,rafe_gpt_plan_critic_qwen,c1,9,5,6,5,0.4500,5
D,rafe_gpt_plan_qwen_code,c1,9,5,8,3,0.4091,3
D,rafe_gpt_plan_qwen_code_rev,c1,10,4,5,6,0.5263,6
D,rafe_mcts_baseline,c1,6,8,6,5,0.3000,5
D,rafe_mcts_critic_gate,c1,8,6,6,5,0.4000,5
D,rafe_mcts_plan_critic,c1,8,6,6,5,0.4000,5
D,rafe_qwen,c1,10,4,8,3,0.4545,3
E,E,c1,17,0,0,8,1.0000,8
E,F,c1,12,5,0,8,0.7059,8
E,F_strict,c1,14,3,0,8,0.8235,8
E,G,c1,14,3,1,7,0.7778,7
E,G_strict,c1,13,4,0,8,0.7647,8
E,H,c1,14,3,0,8,0.8235,8
E,I,c1,15,2,0,8,0.8824,8
E,J,c1,15,2,0,8,0.8824,8
E,K,c1,11,6,0,8,0.6471,8
E,L,c1,10,7,0,8,0.5882,8
E,M,c1,13,4,0,8,0.7647,8
E,N,c1,12,5,1,7,0.6667,7
E,P,c1,14,3,2,6,0.7368,6
E,rafe_gpt120b,c1,12,5,7,1,0.5000,1
E,rafe_gpt_plan_critic_qwen,c1,11,6,4,4,0.5238,4
E,rafe_gpt_plan_qwen_code,c1,11,6,6,2,0.4783,2
E,rafe_gpt_plan_qwen_code_rev,c1,12,5,3,5,0.6000,5
E,rafe_mcts_baseline,c1,8,9,4,4,0.3810,4
E,rafe_mcts_critic_gate,c1,10,7,4,4,0.4762,4
E,rafe_mcts_plan_critic,c1,9,8,5,3,0.4091,3
E,rafe_qwen,c1,12,5,6,2,0.5217,2
F,F,c1,12,0,0,13,1.0000,13
F,F_strict,c1,11,1,3,10,0.7333,10
F,G,c1,12,0,3,10,0.8000,10
F,G_strict,c1,10,2,3,10,0.6667,10
F,H,c1,11,1,3,10,0.7333,10
F,I,c1,12,0,3,10,0.8000,10
F,J,c1,12,0,3,10,0.8000,10
F,K,c1,10,2,1,12,0.7692,12
F,L,c1,9,3,1,12,0.6923,12
F,M,c1,10,2,3,10,0.6667,10
F,N,c1,10,2,3,10,0.6667,10
F,P,c1,11,1,5,8,0.6471,8
F,rafe_gpt120b,c1,8,4,11,2,0.3478,2
F,rafe_gpt_plan_critic_qwen,c1,7,5,8,5,0.3500,5
F,rafe_gpt_plan_qwen_code,c1,6,6,11,2,0.2609,2
F,rafe_gpt_plan_qwen_code_rev,c1,7,5,8,5,0.3500,5
F,rafe_mcts_baseline,c1,6,6,6,7,0.3333,7
F,rafe_mcts_critic_gate,c1,7,5,7,6,0.3684,6
F,rafe_mcts_plan_critic,c1,6,6,8,5,0.3000,5
F,rafe_qwen,c1,7,5,11,2,0.3043,2
F_strict,F_strict,c1,14,0,0,11,1.0000,11
F_strict,G,c1,12,2,3,8,0.7059,8
F_strict,G_strict,c1,12,2,1,10,0.8000,10
F_strict,H,c1,11,3,3,8,0.6471,8
F_strict,I,c1,13,1,2,9,0.8125,9
F_strict,J,c1,12,2,3,8,0.7059,8
F_strict,K,c1,9,5,2,9,0.5625,9
F_strict,L,c1,8,6,2,9,0.5000,9
F_strict,M,c1,11,3,2,9,0.6875,9
F_strict,N,c1,10,4,3,8,0.5882,8
F_strict,P,c1,12,2,4,7,0.6667,7
F_strict,rafe_gpt120b,c1,10,4,9,2,0.4348,2
F_strict,rafe_gpt_plan_critic_qwen,c1,9,5,6,5,0.4500,5
F_strict,rafe_gpt_plan_qwen_code,c1,9,5,8,3,0.4091,3
F_strict,rafe_gpt_plan_qwen_code_rev,c1,10,4,5,6,0.5263,6
F_strict,rafe_mcts_baseline,c1,7,7,5,6,0.3684,6
F_strict,rafe_mcts_critic_gate,c1,8,6,6,5,0.4000,5
F_strict,rafe_mcts_plan_critic,c1,7,7,7,4,0.3333,4
F_strict,rafe_qwen,c1,10,4,8,3,0.4545,3
G,G,c1,15,0,0,10,1.0000,10
G,G_strict,c1,12,3,1,9,0.7500,9
G,H,c1,13,2,1,9,0.8125,9
G,I,c1,14,1,1,9,0.8750,9
G,J,c1,13,2,2,8,0.7647,8
G,K,c1,11,4,0,10,0.7333,10
G,L,c1,10,5,0,10,0.6667,10
G,M,c1,11,4,2,8,0.6471,8
G,N,c1,11,4,2,8,0.6471,8
G,P,c1,13,2,3,7,0.7222,7
G,rafe_gpt120b,c1,11,4,8,2,0.4783,2
G,rafe_gpt_plan_critic_qwen,c1,8,7,7,3,0.3636,3
G,rafe_gpt_plan_qwen_code,c1,9,6,8,2,0.3913,2
G,rafe_gpt_plan_qwen_code_rev,c1,9,6,6,4,0.4286,4
G,rafe_mcts_baseline,c1,6,9,6,4,0.2857,4
G,rafe_mcts_critic_gate,c1,8,7,6,4,0.3810,4
G,rafe_mcts_plan_critic,c1,7,8,7,3,0.3182,3
G,rafe_qwen,c1,9,6,9,1,0.3750,1
G_strict,G_strict,c1,13,0,0,12,1.0000,12
G_strict,H,c1,11,2,3,9,0.6875,9
G_strict,I,c1,13,0,2,10,0.8667,10
G_strict,J,c1,12,1,3,9,0.7500,9
G_strict,K,c1,9,4,2,10,0.6000,10
G_strict,L,c1,8,5,2,10,0.5333,10
G_strict,M,c1,10,3,3,9,0.6250,9
G_strict,N,c1,10,3,3,9,0.6250,9
G_strict,P,c1,11,2,5,7,0.6111,7
G_strict,rafe_gpt120b,c1,11,2,8,4,0.5238,4
G_strict,rafe_gpt_plan_critic_qwen,c1,9,4,6,6,0.4737,6
G_strict,rafe_gpt_plan_qwen_code,c1,9,4,8,4,0.4286,4
G_strict,rafe_gpt_plan_qwen_code_rev,c1,10,3,5,7,0.5556,7
G_strict,rafe_mcts_baseline,c1,7,6,5,7,0.3889,7
G_strict,rafe_mcts_critic_gate,c1,9,4,5,7,0.5000,7
G_strict,rafe_mcts_plan_critic,c1,8,5,6,6,0.4211,6
G_strict,rafe_qwen,c1,10,3,8,4,0.4762,4
H,H,c1,14,0,0,11,1.0000,11
H,I,c1,13,1,2,9,0.8125,9
H,J,c1,13,1,2,9,0.8125,9
H,K,c1,11,3,0,11,0.7857,11
H,L,c1,10,4,0,11,0.7143,11
H,M,c1,12,2,1,10,0.8000,10
H,N,c1,10,4,3,8,0.5882,8
H,P,c1,12,2,4,7,0.6667,7
H,rafe_gpt120b,c1,10,4,9,2,0.4348,2
H,rafe_gpt_plan_critic_qwen,c1,8,6,7,4,0.3810,4
H,rafe_gpt_plan_qwen_code,c1,8,6,9,2,0.3478,2
H,rafe_gpt_plan_qwen_code_rev,c1,9,5,6,5,0.4500,5
H,rafe_mcts_baseline,c1,7,7,5,6,0.3684,6
H,rafe_mcts_critic_gate,c1,8,6,6,5,0.4000,5
H,rafe_mcts_plan_critic,c1,8,6,6,5,0.4000,5
H,rafe_qwen,c1,9,5,9,2,0.3913,2
I,I,c1,15,0,0,10,1.0000,10
I,J,c1,14,1,1,9,0.8750,9
I,K,c1,11,4,0,10,0.7333,10
I,L,c1,10,5,0,10,0.6667,10
I,M,c1,12,3,1,9,0.7500,9
I,N,c1,11,4,2,8,0.6471,8
I,P,c1,13,2,3,7,0.7222,7
I,rafe_gpt120b,c1,11,4,8,2,0.4783,2
I,rafe_gpt_plan_critic_qwen,c1,9,6,6,4,0.4286,4
I,rafe_gpt_plan_qwen_code,c1,9,6,8,2,0.3913,2
I,rafe_gpt_plan_qwen_code_rev,c1,10,5,5,5,0.5000,5
I,rafe_mcts_baseline,c1,7,8,5,5,0.3500,5
I,rafe_mcts_critic_gate,c1,9,6,5,5,0.4500,5
I,rafe_mcts_plan_critic,c1,8,7,6,4,0.3810,4
I,rafe_qwen,c1,10,5,8,2,0.4348,2
J,J,c1,15,0,0,10,1.0000,10
J,K,c1,11,4,0,10,0.7333,10
J,L,c1,10,5,0,10,0.6667,10
J,M,c1,12,3,1,9,0.7500,9
J,N,c1,11,4,2,8,0.6471,8
J,P,c1,13,2,3,7,0.7222,7
J,rafe_gpt120b,c1,11,4,8,2,0.4783,2
J,rafe_gpt_plan_critic_qwen,c1,10,5,5,5,0.5000,5
J,rafe_gpt_plan_qwen_code,c1,9,6,8,2,0.3913,2
J,rafe_gpt_plan_qwen_code_rev,c1,10,5,5,5,0.5000,5
J,rafe_mcts_baseline,c1,8,7,4,6,0.4211,6
J,rafe_mcts_critic_gate,c1,10,5,4,6,0.5263,6
J,rafe_mcts_plan_critic,c1,9,6,5,5,0.4500,5
J,rafe_qwen,c1,10,5,8,2,0.4348,2
K,K,c1,11,0,0,14,1.0000,14
K,L,c1,10,1,0,14,0.9091,14
K,M,c1,9,2,4,10,0.6000,10
K,N,c1,10,1,3,11,0.7143,11
K,P,c1,9,2,7,7,0.5000,7
K,rafe_gpt120b,c1,7,4,12,2,0.3043,2
K,rafe_gpt_plan_critic_qwen,c1,6,5,9,5,0.3000,5
K,rafe_gpt_plan_qwen_code,c1,6,5,11,3,0.2727,3
K,rafe_gpt_plan_qwen_code_rev,c1,6,5,9,5,0.3000,5
K,rafe_mcts_baseline,c1,5,6,7,7,0.2778,7
K,rafe_mcts_critic_gate,c1,7,4,7,7,0.3889,7
K,rafe_mcts_plan_critic,c1,6,5,8,6,0.3158,6
K,rafe_qwen,c1,6,5,12,2,0.2609,2
L,L,c1,10,0,0,15,1.0000,15
L,M,c1,9,1,4,11,0.6429,11
L,N,c1,9,1,4,11,0.6429,11
L,P,c1,9,1,7,8,0.5294,8
L,rafe_gpt120b,c1,6,4,13,2,0.2609,2
L,rafe_gpt_plan_critic_qwen,c1,6,4,9,6,0.3158,6
L,rafe_gpt_plan_qwen_code,c1,6,4,11,4,0.2857,4
L,rafe_gpt_plan_qwen_code_rev,c1,6,4,9,6,0.3158,6
L,rafe_mcts_baseline,c1,4,6,8,7,0.2222,7
L,rafe_mcts_critic_gate,c1,6,4,8,7,0.3333,7
L,rafe_mcts_plan_critic,c1,6,4,8,7,0.3333,7
L,rafe_qwen,c1,6,4,12,3,0.2727,3
M,M,c1,13,0,0,12,1.0000,12
M,N,c1,8,5,5,7,0.4444,7
M,P,c1,13,0,3,9,0.8125,9
M,rafe_gpt120b,c1,9,4,10,2,0.3913,2
M,rafe_gpt_plan_critic_qwen,c1,8,5,7,5,0.4000,5
M,rafe_gpt_plan_qwen_code,c1,8,5,9,3,0.3636,3
M,rafe_gpt_plan_qwen_code_rev,c1,9,4,6,6,0.4737,6
M,rafe_mcts_baseline,c1,7,6,5,7,0.3889,7
M,rafe_mcts_critic_gate,c1,7,6,7,5,0.3500,5
M,rafe_mcts_plan_critic,c1,8,5,6,6,0.4211,6
M,rafe_qwen,c1,9,4,9,3,0.4091,3
N,N,c1,13,0,0,12,1.0000,12
N,P,c1,10,3,6,6,0.5263,6
N,rafe_gpt120b,c1,9,4,10,2,0.3913,2
N,rafe_gpt_plan_critic_qwen,c1,8,5,7,5,0.4000,5
N,rafe_gpt_plan_qwen_code,c1,9,4,8,4,0.4286,4
N,rafe_gpt_plan_qwen_code_rev,c1,8,5,7,5,0.4000,5
N,rafe_mcts_baseline,c1,5,8,7,5,0.2500,5
N,rafe_mcts_critic_gate,c1,8,5,6,6,0.4211,6
N,rafe_mcts_plan_critic,c1,6,7,8,4,0.2857,4
N,rafe_qwen,c1,9,4,9,3,0.4091,3
P,P,c1,16,0,0,9,1.0000,9
P,rafe_gpt120b,c1,12,4,7,2,0.5217,2
P,rafe_gpt_plan_critic_qwen,c1,9,7,6,3,0.4091,3
P,rafe_gpt_plan_qwen_code,c1,11,5,6,3,0.5000,3
P,rafe_gpt_plan_qwen_code_rev,c1,10,6,5,4,0.4762,4
P,rafe_mcts_baseline,c1,7,9,5,4,0.3333,4
P,rafe_mcts_critic_gate,c1,8,8,6,3,0.3636,3
P,rafe_mcts_plan_critic,c1,8,8,6,3,0.3636,3
P,rafe_qwen,c1,11,5,7,2,0.4783,2
rafe_gpt120b,rafe_gpt120b,c1,19,0,0,6,1.0000,6
rafe_gpt120b,rafe_gpt_plan_critic_qwen,c1,14,5,1,5,0.7000,5
rafe_gpt120b,rafe_gpt_plan_qwen_code,c1,16,3,1,5,0.8000,5
rafe_gpt120b,rafe_gpt_plan_qwen_code_rev,c1,14,5,1,5,0.7000,5
rafe_gpt120b,rafe_mcts_baseline,c1,12,7,0,6,0.6316,6
rafe_gpt120b,rafe_mcts_critic_gate,c1,14,5,0,6,0.7368,6
rafe_gpt120b,rafe_mcts_plan_critic,c1,14,5,0,6,0.7368,6
rafe_gpt120b,rafe_qwen,c1,17,2,1,5,0.8500,5
rafe_gpt_plan_critic_qwen,rafe_gpt_plan_critic_qwen,c1,15,0,0,10,1.0000,10
rafe_gpt_plan_critic_qwen,rafe_gpt_plan_qwen_code,c1,14,1,3,7,0.7778,7
rafe_gpt_plan_critic_qwen,rafe_gpt_plan_qwen_code_rev,c1,13,2,2,8,0.7647,8
rafe_gpt_plan_critic_qwen,rafe_mcts_baseline,c1,11,4,1,9,0.6875,9
rafe_gpt_plan_critic_qwen,rafe_mcts_critic_gate,c1,12,3,2,8,0.7059,8
rafe_gpt_plan_critic_qwen,rafe_mcts_plan_critic,c1,13,2,1,9,0.8125,9
rafe_gpt_plan_critic_qwen,rafe_qwen,c1,15,0,3,7,0.8333,7
rafe_gpt_plan_qwen_code,rafe_gpt_plan_qwen_code,c1,17,0,0,8,1.0000,8
rafe_gpt_plan_qwen_code,rafe_gpt_plan_qwen_code_rev,c1,13,4,2,6,0.6842,6
rafe_gpt_plan_qwen_code,rafe_mcts_baseline,c1,10,7,2,6,0.5263,6
rafe_gpt_plan_qwen_code,rafe_mcts_critic_gate,c1,12,5,2,6,0.6316,6
rafe_gpt_plan_qwen_code,rafe_mcts_plan_critic,c1,12,5,2,6,0.6316,6
rafe_gpt_plan_qwen_code,rafe_qwen,c1,16,1,2,6,0.8421,6
rafe_gpt_plan_qwen_code_rev,rafe_gpt_plan_qwen_code_rev,c1,15,0,0,10,1.0000,10
rafe_gpt_plan_qwen_code_rev,rafe_mcts_baseline,c1,9,6,3,7,0.5000,7
rafe_gpt_plan_qwen_code_rev,rafe_mcts_critic_gate,c1,12,3,2,8,0.7059,8
rafe_gpt_plan_qwen_code_rev,rafe_mcts_plan_critic,c1,12,3,2,8,0.7059,8
rafe_gpt_plan_qwen_code_rev,rafe_qwen,c1,15,0,3,7,0.8333,7
rafe_mcts_baseline,rafe_mcts_baseline,c1,12,0,0,13,1.0000,13
rafe_mcts_baseline,rafe_mcts_critic_gate,c1,10,2,4,9,0.6250,9
rafe_mcts_baseline,rafe_mcts_plan_critic,c1,11,1,3,10,0.7333,10
rafe_mcts_baseline,rafe_qwen,c1,11,1,7,6,0.5789,6
rafe_mcts_critic_gate,rafe_mcts_critic_gate,c1,14,0,0,11,1.0000,11
rafe_mcts_critic_gate,rafe_mcts_plan_critic,c1,12,2,2,9,0.7500,9
rafe_mcts_critic_gate,rafe_qwen,c1,13,1,5,6,0.6842,6
rafe_mcts_plan_critic,rafe_mcts_plan_critic,c1,14,0,0,11,1.0000,11
rafe_mcts_plan_critic,rafe_qwen,c1,14,0,4,7,0.7778,7
