run_id,variant,case_set,solved,total,solve_rate,avg_compute_usd,compute_per_solve_usd,avg_cost_bpt,bpt_per_solve,avg_total_tokens,avg_duration_s,avg_tree_nodes,avg_best_depth,efficiency_score_usd,efficiency_score_bpt
A_c1_9b_mcts,A,c1,15,20,0.75,0.004259472499999998,0.005679296666666664,377954.1,503938.8,41994.9,178.49750000000003,9.1,7.65,17607.81411313256,0.00019843679430915024
A_c2_9b_mcts,A,c2,12,20,0.6,0.0026072175,0.0043453625,231365.25,385608.75,25707.25,96.97600000000001,9.0,7.6,23013.03976365608,0.0002593302148874993
A_c3_9b_mcts,A,c3,14,20,0.7,0.0033193650000000003,0.004741950000000001,293908.5,419869.28571428574,32656.5,158.20850000000002,7.2,5.55,21088.37081791246,0.00023816936223348422
A_strict_c1_9b_mcts,A_strict,c1,12,20,0.6,0.0043528975,0.007254829166666667,385345.8,642243.0,42816.200000000004,174.609,8.9,7.45,13783.922088677713,0.00015570430506833084
A_strict_c2_9b_mcts,A_strict,c2,13,20,0.65,0.0027935900000000003,0.004297830769230769,247607.1,380934.0,27511.9,156.7255,8.15,7.2,23267.551788200843,0.0002625126662361459
A_strict_c3_9b_mcts,A_strict,c3,14,20,0.7,0.003977187500000001,0.00568169642857143,352181.25,503116.0714285715,39131.25,189.3325,9.0,7.7,17600.377150938944,0.0001987612912385313
B_c1_rafe_linear,B,c1,18,20,0.9,0.00064674,0.0007186,232362.0,258180.0,1936.35,224.54649999999998,0.0,0.0,139159.47676036737,0.0003873266713145867
B_c2_rafe_linear,B,c2,12,20,0.6,0.0022805080000000005,0.0038008466666666677,831004.5,1385007.5,21825.55,92.14349999999999,8.3,7.4,26309.92743722012,7.220177508064036e-05
B_c3_rafe_linear,B,c3,16,20,0.8,0.0020698970000000002,0.00258737125,741816.0,927270.0,19247.1,93.297,8.2,7.2,38649.2661229037,0.00010784345444153267
B_strict_c1_rafe_linear,B_strict,c1,16,20,0.8,0.0022698415000000005,0.0028373018750000004,819264.0,1024080.0,21117.55,106.69500000000001,8.2,7.2,35244.75167098671,9.764862120146864e-05
B_strict_c2_rafe_linear,B_strict,c2,16,20,0.8,0.0019992395,0.002499049375,721155.0,901443.75,18025.3,105.28750000000002,7.55,6.55,40015.21578580255,0.00011093315584028399
B_strict_c3_rafe_linear,B_strict,c3,15,20,0.75,0.0023750150000000003,0.003166686666666667,869043.0,1158724.0,23206.15,129.2305,9.05,8.05,31578.74792369732,8.630182856314359e-05
C_c1_mixed_mcts,C,c1,17,20,0.85,0.0035675820000000006,0.004197155294117648,1266912.0,1490484.705882353,35739.9,128.613,7.55,5.2,23825.661190128212,6.709226844484857e-05
C_c2_mixed_mcts,C,c2,14,20,0.7,0.0044032540000000005,0.006290362857142858,1563429.0,2233470.0,45136.3,149.327,9.5,6.7,15897.334107912011,4.4773379539461017e-05
C_c3_mixed_mcts,C,c3,15,20,0.75,0.0039807005,0.005307600666666666,1403200.5,1870934.0,40952.6,130.09150000000002,9.75,6.5,18840.905011567687,5.3449239791462446e-05
C_strict_c1_mixed_mcts,C_strict,c1,17,20,0.85,0.0023029265,0.002709325294117647,814159.5,957834.705882353,21979.7,127.61550000000004,6.05,4.25,36909.55833805378,0.00010440214724510369
C_strict_c2_mixed_mcts,C_strict,c2,14,20,0.7,0.004349271,0.006213244285714286,1552381.5,2217687.8571428573,45449.35,166.23099999999994,10.65,7.3,16094.651264545253,4.5092008633187137e-05
C_strict_c3_mixed_mcts,C_strict,c3,16,20,0.8,0.003604737999999999,0.004505922499999998,1281630.0,1602037.5,36654.7,131.6655,8.6,5.45,22193.013750236503,6.242051138003949e-05
D_c1_mixed_value,D,c1,14,20,0.7,0.004040010500000001,0.005771443571428573,1435843.5,2051205.0000000002,38197.0,205.2225,8.05,6.05,17326.687641034594,4.8751831240660974e-05
D_c2_mixed_value,D,c2,14,20,0.7,0.003917121500000001,0.005595887857142858,1381743.0,1973918.5714285716,35935.350000000006,204.18250000000006,9.1,7.25,17870.26519345902,5.066065107621316e-05
E_c1_mixed_hindsight,E,c1,17,20,0.85,0.0033332339999999996,0.003921451764705882,1177879.5,1385740.5882352942,30653.300000000003,172.782,6.9,4.95,25500.7599226457,7.216357870223567e-05
E_c2_mixed_hindsight,E,c2,12,20,0.6,0.0033710255000000008,0.005618375833333335,1183948.5,1973247.5,30973.55,175.428,7.45,5.9,17798.73809913333,5.0677879992246284e-05
F_c1_9b_120b_planner,F,c1,12,20,0.6,0.004145297500000001,0.006908829166666668,596956.8,994928.0000000001,36102.0,486.7914999999999,8.1,6.8,14474.232549051061,0.0001005097856327292
F_c2_9b_120b_planner,F,c2,14,20,0.7,0.004134420000000001,0.005906314285714287,633531.3,905044.7142857144,34868.05,248.094,7.6,6.25,16931.032647868382,0.00011049177838569301
F_strict_c1_9b_120b_planner,F_strict,c1,14,20,0.7,0.0031145500000000002,0.004449357142857144,525632.55,750903.642857143,25341.649999999998,190.3435,6.8,5.7,22475.156924756382,0.0001331728790387886
F_strict_c2_9b_120b_planner,F_strict,c2,13,20,0.65,0.004106855,0.006318238461538462,589846.65,907456.3846153846,35577.15,179.41000000000003,8.75,7.75,15827.196236536229,0.00011019813370136118
F_strict_c3_9b_120b_planner,F_strict,c3,17,20,0.85,0.00407424,0.0047932235294117645,607684.8,714923.2941176471,34951.9,182.80850000000004,8.0,6.95,20862.786679233428,0.0001398751457992696
G_c1_9b_hindsight,G,c1,15,20,0.75,0.0029306350000000004,0.003907513333333334,259690.05,346253.39999999997,28854.45,133.344,7.75,6.75,25591.723295463267,0.00028880582833266044
G_c2_9b_hindsight,G,c2,16,20,0.8,0.003039270000000001,0.003799087500000001,268808.85,336011.06249999994,29867.649999999998,164.60249999999996,8.0,6.55,26322.11024357822,0.0002976092491002436
G_strict_c1_9b_hindsight,G_strict,c1,13,20,0.65,0.004279632500000001,0.006584050000000001,379392.75,583681.1538461539,42154.75,158.30100000000004,8.35,7.1,15188.220016555157,0.00017132641569982557
G_strict_c2_9b_hindsight,G_strict,c2,14,20,0.7,0.0032134325000000006,0.004590617857142858,283891.05,405558.64285714284,31543.45,473.62650000000014,8.5,7.35,21783.56010278728,0.0002465734654192163
G_strict_c3_9b_hindsight,G_strict,c3,14,20,0.7,0.0041769925,0.005967132142857143,370816.65,529738.0714285715,41201.85,176.195,9.2,7.8,16758.469161723417,0.00018877253758697187
H_c1_9b_selfeval,H,c1,14,20,0.7,0.003909947500000001,0.005585639285714287,344881.8,492688.28571428574,34718.4,560.834,8.35,7.2,17903.053685503444,0.0002029680893569913
H_c2_9b_selfeval,H,c2,14,20,0.7,0.003933580000000001,0.005619400000000002,347162.85,495946.9285714286,34789.700000000004,737.5075000000003,9.55,7.85,17795.4941808734,0.0002016344778826421
I_c1_sweSearch_9b,I,c1,15,20,0.75,0.0048541750000000005,0.006472233333333334,429175.8,572234.4,43851.200000000004,724.484,9.3,8.2,15450.617252159222,0.00017475356252612565
I_c2_sweSearch_9b,I,c2,14,20,0.7,0.002818579999999999,0.004026542857142856,248542.65,355060.9285714286,24994.2,851.8749999999998,7.3,6.3,24835.200703900555,0.00028164180272480395
J_c1_30b_sweSearch,J,c1,15,20,0.75,0.004303871999999999,0.005738495999999999,1485732.0,1980976.0,45613.25,140.47499999999997,9.3,8.25,17426.16880799429,5.0480167351850806e-05
J_c2_30b_sweSearch,J,c2,12,20,0.6,0.004191546,0.0069859100000000006,1419351.0,2365585.0,43503.3,178.80599999999998,9.2,6.6,14314.527384406612,4.227284160154888e-05
K_c1_minimal_sweSearch,K,c1,11,20,0.55,0.0031073000000000008,0.0056496363636363645,275332.5,500604.5454545454,26221.75,388.28049999999996,10.25,9.25,17700.254240015445,0.00019975847384525984
K_c2_minimal_sweSearch,K,c2,11,20,0.55,0.0023087325000000006,0.0041976954545454555,204275.25,371409.5454545454,19502.65,334.4045,8.45,7.5,23822.59529850253,0.00026924456095390906
L_c1_9b_linear,L,c1,0,20,0.0,0.000153325,inf,13695.3,inf,1521.6999999999998,42.579499999999996,2.0,1.0,0.0,0.0
L_c2_9b_linear,L,c2,0,20,0.0,0.00014607000000000002,inf,13029.75,inf,1447.75,38.95300000000001,2.0,1.0,0.0,0.0
L_c3_9b_linear,L,c3,0,20,0.0,0.00013883749999999998,inf,12386.7,inf,1376.3000000000002,35.4585,1.9,0.95,0.0,0.0
M_c1_30b_linear,M,c1,0,20,0.0,0.00017559199999999997,inf,49227.0,inf,1640.8999999999999,49.308499999999995,2.0,1.0,0.0,0.0
M_c2_30b_linear,M,c2,0,20,0.0,0.00014033400000000004,inf,39601.5,inf,1320.0500000000002,43.835,1.7,0.85,0.0,0.0
M_c3_30b_linear,M,c3,0,20,0.0,0.000138822,inf,42252.0,inf,1408.4,47.5115,1.9,0.95,0.0,0.0
N_c1_120b_linear,N,c1,0,20,0.0,0.0002649749999999999,inf,194142.0,inf,1617.85,37.06950000000002,1.8,0.9,0.0,0.0
N_c2_120b_linear,N,c2,0,20,0.0,0.00030429000000000003,inf,220716.0,inf,1839.3,43.207,2.0,1.0,0.0,0.0
N_c3_120b_linear,N,c3,0,20,0.0,0.00028812000000000005,inf,210570.0,inf,1754.75,44.37800000000001,2.0,1.0,0.0,0.0
P_c1_best_combined,P,c1,16,20,0.8,0.0033785385,0.004223173125,1198905.0,1498631.25,33698.9,140.7405,7.0,5.5,23678.877715911774,6.672755556111618e-05
P_c2_best_combined,P,c2,14,20,0.7,0.0036955715,0.0052793878571428575,1315587.0,1879410.0000000002,38165.95,187.64999999999998,8.95,6.2,18941.589954354826,5.3208187675919574e-05
P_c3_best_combined,P,c3,15,20,0.75,0.003337454,0.004449938666666667,1194745.5,1592994.0,33382.5,167.5315,8.7,6.2,22472.219841831527,6.277487548603448e-05
